EPCI	CAPACITE 2022	OUVERTURES 2022	FERMETURES 2021	EVOL NB	EVOL 2022-2021 %
CC du Grand Saint-Émilionnais	76	0	10	-10	-0.116279069767442
CA du Libournais	40	0	11	-11	-0.215686274509804
CC du Grand Cubzaguais	42	0	0	0	0
CC Médullienne	43	0	0	0	0
CC de Montesquieu	55	8	0	8	0.170212765957447
CC du Val de l'Eyre	51	0	0	0	0
CC de Blaye	37	4	8	-4	-0.0975609756097561
CC Médoc Cœur de Presqu'île	39	4	10	-6	-0.133333333333333
CC Convergence Garonne	58	0	8	-8	-0.121212121212121
CC du Bazadais	172	0	0	0	0
CC Les Rives de la Laurence	39	0	0	0	0
CC du Sud Gironde	70	10	0	10	0.166666666666667
CC de l'Estuaire	42	0	3	-3	-0.0666666666666667
CC Les Coteaux Bordelais	27	0	0	0	0
CC des Portes de l'Entre-deux-Mers	14	0	3	-3	-0.176470588235294
CC Médoc Atlantique	143	25	10	15	0.1171875
CC Castillon/Pujols	85	6	0	6	0.0759493670886076
CC Jalle-Eau-Bourde	10	0	0	0	0
CC Latitude Nord Gironde	86	0	14	-14	-0.14
CC du Créonnais	37	4	0	4	0.121212121212121
CC du Fronsadais	27	2	8	-6	-0.181818181818182
CC du Pays Foyen	14	0	0	0	0
CC du Réolais en Sud Gironde	71	0	0	0	0
CC Les Avant-Monts	112	48	14	34	0.435897435897436
CA Hérault-Méditerranée	223	24	4	20	0.0985221674876848
CC du Minervois au Caroux	173	4	32	-28	-0.139303482587065
CA de Béziers-Méditerranée	95	44	0	44	0.862745098039216
CC du Clermontais	44	8	12	-4	-0.0833333333333334
CC du Grand Pic Saint-Loup	155	8	4	4	0.0264900662251655
CC Vallée de l'Hérault	236	13	30	-17	-0.067193675889328
CC Grand Orb communauté de communes en Languedoc	101	0	29	-29	-0.223076923076923
CA Sète Agglopôle Méditerranée	130	12	16	-4	-0.0298507462686567
CC du Pays de Lunel	82	14	12	2	0.0249999999999999
